year,month,day,Breed,ward,bite_type,location_type,geographic_area
2017,3,9,BEAGLE MIX,Parkdale-High Park,VERY SEVERE,PUBLIC PROPERTY,M6R
2017,3,11,AKITA,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,M3M
2017,3,18,CANE CORSO / LABRADOR RETR,Don Valley West,SEVERE,OWNERS PROPERTY,M4N
2017,3,23,GOLDEN RETR,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,M9W
2017,3,29,GERM SHEPHERD / AUST SHEPHERD,Scarborough-Rouge Park,NON SEVERE,PARK - LEASH FREE AREA,M1E
2017,4,13,GERM SHEPHERD,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,M6L
2017,4,16,ALASKAN HUSKY MIX,York Centre,NON SEVERE,PARK - LEASH FREE AREA,M3H
2017,4,19,AUST SHEPHERD,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,M6R
2017,4,26,ROTTWEILER / BORDER COLLIE,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,M1B
2017,6,1,POODLE STND / COCKER SPAN,Toronto-St. Paul's,SEVERE,OWNERS PROPERTY,M6G
2017,6,3,ROTTWEILER / GERM SHEPHERD,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,M1H
2017,6,21,JINDO,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,M2R
2017,6,24,AM PIT BULL TER,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,M6K
2017,6,25,BOXER / AMER BULLDOG,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,M1W
2017,6,28,GERM SHEPHERD,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,M1B
2017,8,2,SIBERIAN HUSKY,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,M4K
2017,8,14,DOBERMAN PINSCH / AUST SHEPHERD,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,M1L
