_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
1,M6R,CHLOE,BEAGLE MIX,TAN / WHITE,04,Parkdale-High Park,VERY SEVERE,PUBLIC PROPERTY,2017-03-09
2,M3M,OSO,AKITA,WHITE / BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2017-03-11
3,M4N,HOBBES,CANE CORSO / LABRADOR RETR,BR BRINDLE,15,Don Valley West,SEVERE,OWNERS PROPERTY,2017-03-18
4,M9W,HUNTER,GOLDEN RETR,GOLD,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2017-03-23
5,M1E,LILA,GERM SHEPHERD / AUST SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,NON SEVERE,PARK - LEASH FREE AREA,2017-03-29
6,M6L,RUGER,GERM SHEPHERD,BLACK / RED,05,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2017-04-13
7,M3H,BRODY,ALASKAN HUSKY MIX,GREY / WHITE,06,York Centre,NON SEVERE,PARK - LEASH FREE AREA,2017-04-16
8,M6R,TANGO,AUST SHEPHERD,RED MERLE,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2017-04-19
9,M1B,LEO,ROTTWEILER / BORDER COLLIE,BLACK / BROWN,23,Scarborough North,NON SEVERE,PARK - LEASH REQUIRED AREA,2017-04-26
10,M6G,BUSTER,POODLE STND / COCKER SPAN,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,OWNERS PROPERTY,2017-06-01
11,M1H,ENTEI,ROTTWEILER / GERM SHEPHERD,TRICOLOUR / TAN,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2017-06-03
12,M2R,SEVEN,JINDO,WHITE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2017-06-21
13,M6K,BRANDY,AM PIT BULL TER,WHITE / TAN,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2017-06-24
14,M1W,TIGER,BOXER / AMER BULLDOG,BROWN / WHITE,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2017-06-25
15,M1B,LEO,GERM SHEPHERD,BLACK / TAN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2017-06-28
16,M4K,NEMO,SIBERIAN HUSKY,WHITE / GREY,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2017-08-02
17,M1L,TUCKER,DOBERMAN PINSCH / AUST SHEPHERD,BROWN / WHITE,20,Scarborough Southwest,NON SEVERE,OTHER PRIVATE PROPERTY,2017-08-14
18,M9L,DIESEL,CANE CORSO,BL BRINDLE,07,Humber River-Black Creek,NON SEVERE,OWNERS PROPERTY,2017-08-30
19,M4E,SOSA,STAFFORDSHIRE MIX,TAN,19,Beaches-East York,VERY SEVERE,PUBLIC PROPERTY,2017-09-08
20,M9A,ROCKY,GERM SHEPHERD MIX,BLACK / TAN,02,Etobicoke Centre,NON SEVERE,OWNERS PROPERTY,2017-09-29
21,M4J,MAX,GERM SHEPHERD,SABLE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2017-10-02
22,M4L,LUCY,BOXER MIX,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2017-10-24
23,M6N,MYA,ROTTWEILER,BLACK / TAN,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2017-10-24
24,M2N,ROSIE,ROTTWEILER,BLACK / TAN,18,Willowdale,SEVERE,OWNERS PROPERTY,2017-11-04
25,No FSA Info,DANNY,BELG MALINOIS MIX,BROWN / BLACK,NA,No Ward Info,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-11
26,M6N,CHINA,LABRADOR RETR / CHINESE SHARPEI,TAN / WHITE,09,Davenport,SEVERE,PARK - LEASH FREE AREA,2018-02-11
27,M4S,RONIN,ROTTWEILER,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2018-02-25
28,M6M,DUCHESS,ROTTWEILER / STAFFORDSHIRE,BROWN / BLACK,05,York South-Weston,SEVERE,OTHER PRIVATE PROPERTY,2018-03-24
29,M1P,MOOKI,AKBASH / GERM SHEPHERD,TAN,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-04-08
30,M1N,MAVIS,LABRADOR RETR / BORDER COLLIE,TRICOLOUR,20,Scarborough Southwest,SEVERE,PARK - LEASH FREE AREA,2018-04-18
31,M1L,TITAN,LABRADOR RETR / AMER BULLDOG,CHOCOLATE / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2018-04-21
32,M8Y,GEORGE,GOLDEN RETR / POODLE STND,CREAM / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-05-23
33,M6M,ROCKY,BICHON FRISE / POODLE MIN,WHITE,05,York South-Weston,NON SEVERE,OWNERS PROPERTY,2018-05-24
34,M1E,ROMULUS,RHOD RIDGEBACK / GERM SHEPHERD,TAN,24,Scarborough-Guildwood,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-06-02
35,M6A,BEAU,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,VERY SEVERE,OTHER PRIVATE PROPERTY,2018-07-09
36,M6E,THEODORE,PUG / BOSTON TERRIER,BLACK / WHITE,09,Davenport,NON SEVERE,OWNERS PROPERTY,2018-07-23
37,M1W,SADIE,BOXER / GERM SHEPHERD,TAN,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2018-08-03
38,M1W,TORY,SHIH TZU,WHITE / GREY,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2018-08-14
39,M6A,PRINCE,LABRADOR RETR,BLACK,08,Eglinton-Lawrence,NON SEVERE,OWNERS PROPERTY,2018-08-15
40,M4B,TITAN,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2018-08-31
41,M2J,JAXSON,SIBERIAN HUSKY / GERM SHEPHERD,TAN / BLACK,17,Don Valley North,NAB,OTHER PRIVATE PROPERTY,2018-09-17
42,M4K,AIDEN,SC WHEAT TERR,WHITE,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2018-09-23
43,M8Y,DUTCH,MASTIFF / CANE CORSO,GREY / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2018-10-29
44,M6M,TROUBLE,LABRADOR RETR,BLACK,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-02
45,M9N,PONGO,MIN PINSCHER MIX,BLACK / TAN,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2018-11-04
46,M4Y,ILA,BOXER / BULL TERRIER,FAWN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2018-11-25
47,M9W,HUNTER,GERM SHEPHERD,BROWN / BLACK,01,Etobicoke North,SEVERE,PUBLIC PROPERTY,2019-01-18
48,M4H,BABE,LABRADOR RETR MIX,BLACK,15,Don Valley West,NOT A BITE,PUBLIC PROPERTY,2019-01-18
49,M4K,BRUNO,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-01-29
